Date,Time,Latitude,N/S Indicator,Longitude,E/W Indicator,Speed (km/h),Number of Satellites in View,Number of Active Satellites,Active Satellite IDs,Average SNR
2024-09-13,13:24:02,49.14853036666666952,N,-122.90142480000000091,W,0.01,33,33,GP2; GP3; GP4; GP12; GP17; GP19; GP21; GP28; GP31; GP32; GP10; GP25; GL70; GL71; GL72; GL73; GL80; GL86; GL87; GL88; GA11; GA27; GA29; GA30; GA33; GB14; GB24; GB26; GB40; GB41; GB42; GB43; GB45,36.39 dB
2024-09-13,13:24:03,49.14853036666666952,N,-122.90142480000000091,W,0.01,33,33,GP2; GP3; GP4; GP12; GP17; GP19; GP21; GP28; GP31; GP32; GP10; GP25; GL70; GL71; GL72; GL73; GL80; GL86; GL87; GL88; GA11; GA27; GA29; GA30; GA33; GB14; GB24; GB26; GB40; GB41; GB42; GB43; GB45,36.48 dB
2024-09-13,13:24:04,49.14853038333333046,N,-122.90142478333333997,W,0.01,33,33,GP2; GP3; GP4; GP12; GP17; GP19; GP21; GP28; GP31; GP32; GP10; GP25; GL70; GL71; GL72; GL73; GL80; GL86; GL87; GL88; GA11; GA27; GA29; GA30; GA33; GB14; GB24; GB26; GB40; GB41; GB42; GB43; GB45,36.15 dB
2024-09-13,13:24:05,49.14853013333333109,N,-122.90142475000000388,W,0.01,33,33,GP2; GP3; GP4; GP12; GP17; GP19; GP21; GP28; GP31; GP32; GP10; GP25; GL70; GL71; GL72; GL73; GL80; GL86; GL87; GL88; GA11; GA27; GA29; GA30; GA33; GB14; GB24; GB26; GB40; GB41; GB42; GB43; GB45,36.39 dB
2024-09-13,13:24:06,49.14853020000000328,N,-122.90142470000000685,W,0.00,33,33,GP2; GP3; GP4; GP12; GP17; GP19; GP21; GP28; GP31; GP32; GP10; GP25; GL70; GL71; GL72; GL73; GL80; GL86; GL87; GL88; GA11; GA27; GA29; GA30; GA33; GB14; GB24; GB26; GB40; GB41; GB42; GB43; GB45,36.30 dB
2024-09-13,13:24:07,49.14853013333333109,N,-122.90142473333332873,W,0.00,33,33,GP2; GP3; GP4; GP12; GP17; GP19; GP21; GP28; GP31; GP32; GP10; GP25; GL70; GL71; GL72; GL73; GL80; GL86; GL87; GL88; GA11; GA27; GA29; GA30; GA33; GB14; GB24; GB26; GB40; GB41; GB42; GB43; GB45,36.52 dB
2024-09-13,13:24:08,49.14853013333333109,N,-122.90142473333332873,W,0.00,33,33,GP2; GP3; GP4; GP12; GP17; GP19; GP21; GP28; GP31; GP32; GP10; GP25; GL70; GL71; GL72; GL73; GL80; GL86; GL87; GL88; GA11; GA27; GA29; GA30; GA33; GB14; GB24; GB26; GB40; GB41; GB42; GB43; GB45,36.88 dB
2024-09-13,13:24:09,49.14853013333333109,N,-122.90142473333332873,W,0.01,33,33,GP2; GP3; GP4; GP12; GP17; GP19; GP21; GP28; GP31; GP32; GP10; GP25; GL70; GL71; GL72; GL73; GL80; GL86; GL87; GL88; GA11; GA27; GA29; GA30; GA33; GB14; GB24; GB26; GB40; GB41; GB42; GB43; GB45,37.24 dB
2024-09-13,13:24:10,49.14853013333333109,N,-122.90142473333332873,W,0.00,33,33,GP2; GP3; GP4; GP12; GP17; GP19; GP21; GP28; GP31; GP32; GP10; GP25; GL70; GL71; GL72; GL73; GL80; GL86; GL87; GL88; GA11; GA27; GA29; GA30; GA33; GB14; GB24; GB26; GB40; GB41; GB42; GB43; GB45,37.12 dB
2024-09-13,13:24:11,49.14853011666667015,N,-122.90142473333332873,W,0.01,33,33,GP2; GP3; GP4; GP12; GP17; GP19; GP21; GP28; GP31; GP32; GP10; GP25; GL70; GL71; GL72; GL73; GL80; GL86; GL87; GL88; GA11; GA27; GA29; GA30; GA33; GB14; GB24; GB26; GB40; GB41; GB42; GB43; GB45,37.09 dB
