Date,Time,Latitude,N/S Indicator,Longitude,E/W Indicator,Speed (km/h),Number of Satellites in View,Number of Active Satellites,Active Satellite IDs,Average SNR
2024-09-13,13:48:04,49.18860518333333687,N,-122.84945096666666586,W,0.01,32,31,GP2; GP3; GP4; GP17; GP19; GP21; GP25; GP28; GP31; GP32; GP10; GL70; GL71; GL72; GL73; GL74; GL80; GL86; GL87; GA11; GA12; GA27; GA29; GA30; GA33; GB14; GB24; GB41; GB42; GB40; GB45,37.77 dB
2024-09-13,13:48:05,49.18860546666666522,N,-122.84945071666666649,W,0.00,32,31,GP2; GP3; GP4; GP17; GP19; GP21; GP25; GP28; GP31; GP32; GP10; GL70; GL71; GL72; GL73; GL74; GL80; GL86; GL87; GA11; GA12; GA27; GA29; GA30; GA33; GB14; GB24; GB40; GB41; GB42; GB45,37.97 dB
2024-09-13,13:48:06,49.18860519999999781,N,-122.84945095000000492,W,0.01,32,31,GP2; GP3; GP4; GP17; GP19; GP21; GP25; GP28; GP31; GP32; GP10; GL70; GL71; GL72; GL73; GL74; GL80; GL86; GL87; GA11; GA12; GA27; GA29; GA30; GA33; GB14; GB24; GB40; GB41; GB42; GB45,38.39 dB
2024-09-13,13:48:07,49.18860518333333687,N,-122.84945098333332680,W,0.00,32,31,GP2; GP3; GP4; GP17; GP19; GP21; GP25; GP28; GP31; GP32; GP10; GL70; GL71; GL72; GL73; GL74; GL80; GL86; GL87; GA11; GA12; GA27; GA29; GA30; GA33; GB14; GB24; GB40; GB41; GB42; GB45,37.77 dB
2024-09-13,13:48:08,49.18860473333333516,N,-122.84945051666666416,W,1.71,32,31,GP2; GP3; GP4; GP10; GP17; GP19; GP21; GP25; GP28; GP31; GP32; GL70; GL71; GL72; GL73; GL74; GL80; GL86; GL87; GA11; GA12; GA27; GA29; GA30; GA33; GB14; GB24; GB40; GB41; GB42; GB45,37.32 dB
2024-09-13,13:48:09,49.18859773333333152,N,-122.84944573333334006,W,5.58,33,32,GP2; GP3; GP4; GP10; GP17; GP19; GP21; GP25; GP28; GP31; GP32; GL70; GL71; GL72; GL73; GL74; GL80; GL86; GL87; GL88; GA11; GA12; GA27; GA29; GA30; GA33; GB14; GB24; GB40; GB41; GB42; GB45,36.84 dB
2024-09-13,13:48:10,49.18857926666666458,N,-122.84942823333332740,W,11.90,33,32,GP2; GP3; GP4; GP10; GP17; GP19; GP21; GP25; GP28; GP31; GP32; GL70; GL71; GL72; GL73; GL74; GL80; GL86; GL87; GL88; GA11; GA12; GA27; GA29; GA30; GA33; GB14; GB24; GB40; GB41; GB42; GB45,37.16 dB
2024-09-13,13:48:11,49.18855049999999807,N,-122.84939633333333120,W,15.95,33,32,GP2; GP3; GP4; GP10; GP17; GP19; GP21; GP25; GP28; GP31; GP32; GL70; GL71; GL72; GL73; GL74; GL80; GL86; GL87; GL88; GA11; GA12; GA27; GA29; GA30; GA33; GB14; GB24; GB40; GB41; GB42; GB45,35.59 dB
2024-09-13,13:48:12,49.18851663333333590,N,-122.84937071666666952,W,13.93,33,32,GP2; GP3; GP4; GP10; GP17; GP19; GP21; GP25; GP28; GP31; GP32; GL70; GL71; GL72; GL73; GL74; GL80; GL86; GL87; GL88; GA11; GA12; GA27; GA29; GA30; GA33; GB14; GB24; GB40; GB41; GB42; GB45,35.59 dB
2024-09-13,13:48:13,49.18848491666666689,N,-122.84936591666667027,W,11.17,33,32,GP2; GP3; GP4; GP10; GP17; GP19; GP21; GP25; GP28; GP31; GP32; GL70; GL71; GL72; GL73; GL74; GL80; GL86; GL87; GL88; GA11; GA12; GA27; GA29; GA30; GA33; GB14; GB24; GB41; GB42; GB45; GB40,35.63 dB
